Date,Time,S&P,Dow_Jones,NASDAQ,Skype（Microsoft）,Cisco,Facebook,Trading_Volume,Prev_Avg_Price,True_Price,,From 2019.4.18 11:30 To 2020.4.17 16:00,,,Pre_Avg_Price: Average Open Stock Price of Zoom one hour earlier,,
2019/04/18,2019/04/18 11:30,2897.48,26503.69,7972.08,120.46,54.51,177.82,6786527,65.00,62.55,,,,,,,
2019/04/18,2019/04/18 12:30,2904.74,26564.22,7993.30,120.80,54.66,178.05,3991540,62.55,64.87,,,,,,,
2019/04/18,2019/04/18 13:30,2905.30,26570.32,7990.27,121.29,54.65,178.36,1504239,64.75,63.15,,,,,,,
2019/04/18,2019/04/18 14:30,2906.31,26585.46,7997.15,121.60,54.64,178.35,1098866,63.15,63.11,,,,,,,
2019/04/18,2019/04/18 15:30,2906.38,26586.35,7995.29,121.68,54.65,178.18,913495,63.11,63.07,,,,,,,
2019/04/18,2019/04/18 16:00,2905.03,26559.54,7998.06,121.76,54.70,178.28,11469992,63.07,62.00,,,,,,,
2019/04/22,2019/04/22 10:30,2903.00,26498.73,7991.06,122.18,54.71,179.45,1472823,62.00,61.18,,,,,,,
2019/04/22,2019/04/22 11:30,2905.47,26537.89,8001.68,122.35,54.85,180.63,655552,61.18,63.60,,,,,,,
2019/04/22,2019/04/22 12:30,2906.17,26534.92,8003.43,122.06,54.76,180.78,1122104,63.60,66.74,,,,,,,
2019/04/22,2019/04/22 13:30,2905.53,26514.59,8003.17,121.79,54.82,180.40,709726,66.80,65.36,,,,,,,
2019/04/22,2019/04/22 14:30,2905.91,26515.95,8009.45,122.04,54.87,180.97,746589,65.36,68.20,,,,,,,
2019/04/22,2019/04/22 15:30,2905.89,26510.78,8007.02,122.00,54.80,180.96,485807,68.20,66.33,,,,,,,
2019/04/22,2019/04/22 16:00,2907.97,26511.05,8015.27,122.14,54.64,181.44,4731202,66.42,65.70,,,,,,,
2019/04/23,2019/04/23 10:30,2919.14,26571.38,8070.30,123.16,54.75,182.80,1002506,65.70,70.16,,,,,,,
2019/04/23,2019/04/23 11:30,2928.55,26621.52,8098.55,123.17,54.75,183.54,896386,70.16,71.32,,,,,,,
2019/04/23,2019/04/23 12:30,2933.26,26675.99,8110.18,123.22,54.77,183.19,471018,71.31,70.50,,,,,,,
2019/04/23,2019/04/23 13:30,2933.09,26669.24,8115.04,123.31,54.79,183.54,346897,70.61,70.70,,,,,,,
2019/04/23,2019/04/23 14:30,2933.82,26649.84,8120.27,123.41,54.72,184.03,269346,70.68,70.98,,,,,,,
2019/04/23,2019/04/23 15:30,2932.77,26635.51,8122.28,123.82,54.86,184.06,235088,70.98,71.20,,,,,,,
2019/04/23,2019/04/23 16:00,2933.68,26656.39,8120.82,123.80,54.98,183.78,3537512,71.20,69.00,,,,,,,
2019/04/24,2019/04/24 10:30,2933.23,26660.90,8118.45,123.50,55.25,183.37,640014,69.00,67.52,,,,,,,
2019/04/24,2019/04/24 11:30,2934.59,26648.52,8133.59,123.37,55.26,183.86,608221,67.52,65.19,,,,,,,
2019/04/24,2019/04/24 12:30,2932.32,26643.73,8122.91,123.41,55.09,183.03,369581,65.12,65.29,,,,,,,
2019/04/24,2019/04/24 13:30,2929.69,26614.50,8114.57,123.51,55.20,182.39,212772,65.29,64.72,,,,,,,
2019/04/24,2019/04/24 14:30,2929.55,26605.53,8112.32,123.43,55.24,182.66,240872,64.71,64.96,,,,,,,
2019/04/24,2019/04/24 15:30,2933.12,26637.51,8120.11,123.79,55.33,182.67,245620,64.96,64.15,,,,,,,
2019/04/24,2019/04/24 16:00,2927.26,26597.05,8102.02,123.38,55.17,182.58,2634741,64.15,63.20,,,,,,,
2019/04/25,2019/04/25 10:30,2915.43,26335.19,8091.88,127.90,54.39,194.49,331718,63.20,63.37,,,,,,,
2019/04/25,2019/04/25 11:30,2929.03,26448.27,8126.22,128.20,54.59,194.28,218775,63.37,65.40,,,,,,,
2019/04/25,2019/04/25 12:30,2928.02,26464.38,8118.94,127.93,54.52,194.04,162323,65.35,64.90,,,,,,,
2019/04/25,2019/04/25 13:30,2930.64,26501.82,8126.00,127.46,54.54,193.00,179848,64.90,64.70,,,,,,,
2019/04/25,2019/04/25 14:30,2931.77,26521.25,8133.94,127.91,54.66,194.36,400823,64.82,66.31,,,,,,,
2019/04/25,2019/04/25 15:30,2930.80,26501.15,8128.33,127.81,54.73,193.88,242140,66.36,65.45,,,,,,,
2019/04/25,2019/04/25 16:00,2926.17,26462.08,8118.68,127.46,54.63,193.26,2313280,65.45,65.00,,,,,,,
2019/04/26,2019/04/26 10:30,2925.89,26455.83,8091.75,127.69,54.48,191.27,179537,65.00,64.21,,,,,,,
2019/04/26,2019/04/26 11:30,2931.22,26490.35,8113.71,127.89,54.53,191.97,110006,64.21,64.84,,,,,,,
2019/04/26,2019/04/26 12:30,2930.70,26489.04,8115.40,128.19,54.44,191.79,134187,64.84,65.38,,,,,,,
2019/04/26,2019/04/26 13:30,2929.94,26480.84,8112.73,127.96,54.17,191.02,196912,65.39,66.24,,,,,,,
2019/04/26,2019/04/26 14:30,2931.56,26483.15,8122.70,128.06,54.09,191.05,52935,66.24,66.35,,,,,,,
2019/04/26,2019/04/26 15:30,2933.77,26485.67,8130.36,127.93,54.13,190.94,89994,66.37,65.57,,,,,,,
2019/04/26,2019/04/26 16:00,2939.88,26543.33,8146.40,128.19,54.20,191.49,762704,65.57,66.22,,,,,,,
2019/04/29,2019/04/29 10:30,2943.29,26562.96,8156.62,128.03,54.42,193.46,240600,66.22,65.67,,,,,,,
2019/04/29,2019/04/29 11:30,2943.25,26541.24,8159.69,127.94,54.32,194.05,129808,65.67,66.95,,,,,,,
2019/04/29,2019/04/29 12:30,2947.42,26577.68,8165.16,128.08,54.42,194.48,106010,66.95,66.13,,,,,,,
2019/04/29,2019/04/29 13:30,2947.28,26572.01,8166.98,128.19,54.39,194.79,124578,66.15,66.54,,,,,,,
2019/04/29,2019/04/29 14:30,2948.04,26594.43,8173.07,128.29,54.49,194.89,106840,66.54,67.08,,,,,,,
2019/04/29,2019/04/29 15:30,2945.55,26579.31,8164.70,128.28,54.42,194.38,174135,67.08,67.68,,,,,,,
2019/04/29,2019/04/29 16:00,2943.02,26554.39,8161.85,128.08,54.44,194.78,937674,67.68,68.17,,,,,,,
2019/04/30,2019/04/30 10:30,2934.94,26525.94,8094.66,128.34,54.13,194.88,657550,68.17,67.53,,,,,,,
2019/04/30,2019/04/30 11:30,2930.71,26502.27,8064.67,127.95,53.93,194.55,230837,67.64,68.35,,,,,,,
